artists,popularity
Matt Johnson;Jaclyn Davies,48
Kitri,41
Ben Woodward,40
Kina Grannis,57
Greg Laswell,53
Andrew Foy,30
Ross Copperman,49
Jonah Baker;Sara Phillips,26
Joe Brooks,53
Boyce Avenue,52
Zack Tabudlo,51
Masaharu Fukuyama,35
Zack Tabudlo;James TW,54
Ciaran Lavery,50
John Frusciante,53
Chord Overstreet,48
The Civil Wars,49
Masaharu Fukuyama,35
Zack Tabudlo,60
Zack Tabudlo,65
Sara Farell,52
A Great Big World,57
Ingrid Michaelson;AJR,59
Rodrigo y Gabriela,50
Andrew Belle,49
Priscilla Ahn,54
JJ Heller,52
Priscilla Ahn,46
Joshua Hyslop,62
Front Porch Step,32
Takehara Pistol,33
Eric Hutchinson,58
Brett Dennen,57
Rail Yard Ghosts,34
Five For Fighting,55
The Bridge City Sinners,33
Frank Turner,33
Matt Costa,0
Matt Costa,0
Matt Costa,0
Jonah Baker,52
Aqualung;Kina Grannis,21
Jonah Baker,50
Ichiko Aoba,55
Kina Grannis,46
Meiko,56
Erin McCarley,40
Jason Mraz,21
Isabella Celander,55
Roses & Frey,50
Rachael Yamagata,41
Us The Duo,44
Amber Leigh Irish,57
Jess Penner,33
Daniel Robinson,56
Yosui Inoue;Tamio Okuda,32
Jonah Baker;Celine,35
Greg Laswell,55
Masaharu Fukuyama,33
Blame Jones,46
Ben Woodward,38
Stephen Speaks,65
Matt White,60
Boyce Avenue,54
Madi Diaz,37
Masaharu Fukuyama,34
Boyce Avenue,55
Canyon City,51
Tristan Prettyman,48
Masaharu Fukuyama,34
JJ Heller,51
Ingrid Michaelson,54
Mark Oblea,32
Ingrid Michaelson,54
Boyce Avenue;Kina Grannis,61
Boyce Avenue,55
Andrew Belle,55
Masaharu Fukuyama,34
Hanare Gumi,33
Brett Dennen;Benedict Cumberbatch,45
Hanare Gumi,33
Masaharu Fukuyama,34
Masaharu Fukuyama,34
A Great Big World,49
RENT STRIKE,33
Brandi Carlile,62
Mischief Brew,33
Frank Turner,31
Get Dead,32
Get Dead,32
Grace George,54
Jack Savoretti,50
Ichiko Aoba,58
Thomas Daniel,49
Boyce Avenue;Fifth Harmony,52
Amber Leigh Irish,49
Gen Hoshino,53
Richard Walters,54
Kaiak;Viktoria Tolstoy,50
Boyce Avenue,57
Bailey Rushlow,53
Kina Grannis,57
Boyce Avenue,49
John Adams,52
Amber Leigh Irish,51
Canyon City,46
Chord Overstreet,41
Wayne Mack,57
Aimyon,50
Sungha Jung,42
Tamio Okuda,47
Us The Duo,55
Ben Rector,56
Parachute,49
Zee Avi,50
Joshua Radin,56
Boyce Avenue,52
Gabrielle Aplin,50
Jon Bryant,53
Masaharu Fukuyama,33
Bailey Pelkman;Randy Rektor,54
A Great Big World;Christina Aguilera,50
John Frusciante,54
Ron Pope,55
Tres Hermanas,32
Masaharu Fukuyama,33
Matt Johnson,50
The Mayries,56
Stephen Speaks,63
Eddie Vedder,48
Dave Van Ronk,54
John Frusciante;Josh Klinghoffer,31
Frank Turner,31
Joy Williams,60
Ray LaMontagne,67
Mischief Brew,33
Days N Daze;Freddie Boatright,32
The Bridge City Sinners,31
Zee Avi,0
Get Dead,31
Highland Peak,45
Ichiko Aoba,56
Aoi Teshima,45
AcousticTrench,42
Parachute,46
Matt Nathanson,50
Lee DeWyze,45
Clementine Duo,56
Rachael Yamagata,43
Brandon Chase,39
Bailey Jehl,53
Gabrielle Aplin,45
Zack Tabudlo,32
Bailey Jehl,53
Clementine Duo,54
Joshua Hyslop,51
Kina Grannis;Imaginary Future,55
Andrew Foy;Renee Foy,33
Kurt Cobain,55
Us The Duo,46
Hanare Gumi,30
Gabrielle Aplin,46
Austin Basham,60
Gabrielle Aplin,51
Us The Duo,47
Drew Holcomb & The Neighbors,60
Parachute,51
Boyce Avenue;Megan Davies;Jaclyn Davies,60
Eastmountainsouth,52
Peter Bradley Adams,54
The Civil Wars,52
Eddie Vedder,51
Suy Galvez,30
Suy Galvez,30
Howlin' Wolf,62
Stephen Speaks,64
Buddy Guy;Bonnie Raitt,57
Mance Lipscomb,31
Violent Femmes,71
Days N Daze,31
Drei Rana;Selena Marie,30
Frank Turner,30
Harley Poe,30
Frank Turner,30
The Bridge City Sinners,30
Ben Rector,59
Frank Turner,30
The Bridge City Sinners,30
Brandi Carlile;Lucius,63
Get Dead,30
Jonah Baker,44
Trevor Hall;Marieme,54
Ben Woodward,28
Brandon Chase,47
Aron Wright,41
Sara Farell,43
Zack Tabudlo,65
Jonah Baker,53
Greg Laswell,47
Daniel Robinson,55
Boyce Avenue,45
Zack Tabudlo,69
Gabrielle Aplin,37
Colin & Caroline,34
Andrew Belle,53
Masaharu Fukuyama,31
Masaharu Fukuyama,31
Bailey Jehl,47
Canyon City,45
Jonah Baker,51
Kurt Cobain,51
Masaharu Fukuyama,31
Kina Grannis,48
The Mayries,48
Gabrielle Aplin,51
Joshua Radin,55
Masaharu Fukuyama,32
Ysabelle Cuevas,54
Jason Mraz,60
Bailey Pelkman;Randy Rektor,47
Ethan Loukas;Janine Teñoso,29
John Frusciante,51
Adam Christopher,41
Kina Grannis,48
Penny and Sparrow,61
Sonny Boy Williamson II,60
Shannon & Keast,45
Ray LaMontagne,58
Mia Rollo,29
Boyce Avenue,57
Suy Galvez,29
JJ Heller,49
Takehara Pistol,30
Days N Daze,30
AJJ,31
SANNA NORTH,29
Brandi Carlile,59
The Bridge City Sinners,30
Pigeon Pit,30
Get Dead,29
Adam Christopher,55
A Great Big World,49
Andrew Belle,50
Kris Allen,55
Lúc,49
Ben Woodward,32
Masayoshi Yamazaki,53
The Mayries,46
Gabrielle Aplin,23
Edy Hafler,41
The Perishers,49
Mat Kearney,59
The Mayries,43
Masaharu Fukuyama,31
Boyce Avenue,46
Kurt Cobain,50
Allman Brown,41
Sara Farell;Simon Samaeng,48
Andrew Foy;Renee Foy,36
Mat Kearney,44
Joshua Radin,56
Sakura Fujiwara,29
JJ Heller,52
Masaharu Fukuyama,31
Canyon City,47
Ray LaMontagne,56
Eddie van der Meer,37
Gabrielle Aplin,24
Gabrielle Aplin,23
Suy Galvez,28
Boyce Avenue;Rachel Grae,51
Tristan Prettyman,51
Matt Nathanson,51
Joshua Hyslop,50
Masaharu Fukuyama,31
Masayoshi Yamazaki,30
Masaharu Fukuyama,31
Drei Rana,29
Trevor Hall,61
Maris Racal,28
The Weepies;Deb Talan;Steve Tannen,55
Hanare Gumi,29
Days N Daze,30
Eric Hutchinson,29
Apes of the State,30
Gail Blanco,29
The Bridge City Sinners,29
Days N Daze,30
Days N Daze,29
Get Dead,28
Jonah Baker,42
Eden Elf;Ren Avel,49
Adam Christopher;Dan Berk,53
Amber Leigh Irish,50
Lúc,52
Anna Hamilton,36
Lee DeWyze,49
Jonah Baker,40
Bailey Rushlow,51
Emilie Mover,41
William Fitzsimmons,55
Vivid Color,52
Bailey Jehl,51
Zack Tabudlo,49
Albert Collins,54
Phillip LaRue,46
Us The Duo,45
Masaharu Fukuyama,30
Jason Mraz,53
The Perishers,48
Jon McLaughlin,52
Sara Bareilles,51
Ray LaMontagne,59
Boyce Avenue,53
Tyrone Wells,47
EJ De Perio,28
Beyond The Guitar,30
Yosui Inoue,29
Zee Avi,48
Hannah's Yard,52
Hanare Gumi,28
JJ Heller,51
JJ Heller,53
Ben Rector,52
JJ Heller,42
Takehara Pistol,29
Hanare Gumi,29
Brandi Carlile,60
Eddie Vedder,51
Vendredi;Son&Dad,28
Chris Cresswell,27
Chuck Ragan,28
Albert King,58
The Weepies;Deb Talan;Steve Tannen,54
Tim Vantol,28
Days N Daze,29
Vendredi;Son&Dad,28
The Bridge City Sinners,28
Chad Hates George,28
Frank Turner,28
Ichiko Aoba,52
Boyce Avenue,46
Aron Wright,47
Acoustic Guitar Collective,39
Kina Grannis,50
Howie Day,43
Andrew Foy;Renee Foy,30
Ciaran Lavery,53
Bailey Jehl,51
Jules Larson,31
Masaharu Fukuyama,29
Rosi Golan,43
Colin & Caroline,55
Gen Hoshino,50
Masaharu Fukuyama,30
Ingrid Michaelson,46
Jason Mraz,46
Boyce Avenue,52
Eddie Vedder;Cat Power,44
Ysabelle Cuevas,51
Boyce Avenue,53
The Civil Wars,47
Will Moore,48
Ingrid Michaelson,56
Jason Mraz,48
C.W. Stoneking,47
Masaharu Fukuyama,29
Suy Galvez,28
Mone Kamishiraishi,28
KT Tunstall,67
Johnnyswim,29
Drew Holcomb;Ellie Holcomb;Drew Holcomb & The Neighbors,56
Freddie King,54
JJ Heller,25
Ben Rector,49
Days N Daze,28
Frank Turner,28
KT Tunstall,29
Eddie Vedder,53
Frank Turner,28
Days N Daze,28
Marc Broussard,28
The Bridge City Sinners,28
The Bridge City Sinners,28
Frank Turner,28
Harley Poe,28
Days N Daze;Juicy Karkass,29
Mindy Smith,0
Mindy Smith,0
Mindy Smith,0
Anya Marina,32
Adam Christopher,35
Hannah's Yard,49
SafetySuit,52
Meiko,31
Yosui Inoue;Tamio Okuda,28
Boyce Avenue;Hannah Trigwell,48
Canyon City,48
Eddy Tyler,41
A Great Big World;Futuristic,47
Hanare Gumi,28
Ray LaMontagne,60
Aimyon,47
Tyrone Wells,30
Kaiak,49
Jason Mraz,51
Boyce Avenue;Bea Miller,50
Sakura Fujiwara,28
Filip Nordin,51
Gabrielle Aplin,45
The Mayries,54
Allman Brown,54
Sara Bareilles;John Legend,57
Suy Galvez,27
The Civil Wars,57
"Melvin Taylor;Lucky Peterson;Titus Williams;Ray ""Killer"" Allison",55
Eddie van der Meer,30
Takehara Pistol,27
Luther Allison,41
Takehara Pistol,28
Jason Mraz,57
John Frusciante,51
Maris Racal,27
Front Porch Step,27
Penny and Sparrow,58
We The Heathens,27
Front Porch Step,27
Gail Blanco,27
Ramshackle Glory,28
RENT STRIKE,27
Days N Daze,28
Sonny Boy Williamson II,30
AJJ,28
Ramshackle Glory,28
Harley Poe,28
Frank Turner,27
Frank Turner,27
Eric Lumiere,27
Days N Daze,28
Frank Turner,27
Aimyon,65
Gen Hoshino,49
Luther Allison,52
Ethan Loukas,39
Gabrielle Aplin,38
Andrew Belle,45
Gen Hoshino,41
Carly Lyman;Jason Lux,49
Joshua Radin,28
Blame Jones,51
Michelle Featherstone,35
Lusaint,54
Kurt Cobain,48
Thomas Daniel,60
Big Mama Thornton,57
Ingrid Michaelson,45
Joseph Sullinger,34
Neulore,40
Ben Woodward,46
Nathan Angelo,42
Andrew Ripp,36
Jason Mraz,16
JJ Heller,46
Filip Nordin,26
"Melvin Taylor;Lucky Peterson;Titus Williams;Ray ""Killer"" Allison",52
Mone Kamishiraishi,26
Gabrielle Aplin,50
Amos Lee,60
Donovan Woods,50
Sara Bareilles,61
Covers Culture;Acoustic Covers Culture;Lounge Covers Culture Of Popular Songs,26
Keisha White,27
Austin Plaine,28
Drew Holcomb & The Neighbors,55
Eddie Vedder,45
Beans on Toast,26
Johnnyswim,28
Eddie Vedder,48
Not Half Bad,27
Frank Turner,27
Chuck Ragan,26
AJJ,28
Violent Femmes,28
AJJ,28
"Defiance, Ohio",29
NORMANDY;Lynn Miller,27
Days N Daze,28
Frank Turner,27
Brandi Carlile,60
Mischief Brew,28
Gen Hoshino,48
Parker Jenkins,43
Sunset & Highland,54
Gabrielle Aplin,49
Kris Allen,45
Shikao Suga,27
Ben Rector,52
Guus Dielissen,41
Jae Hall,51
Kina Grannis,48
John Adams,52
Andrew Ripp,39
Naotaro Moriyama,27
Chord Overstreet,41
Tyler Ward,43
Postcards & Polaroids;Sad Boy,45
Yu Takahashi,27
Unkle Bob,41
The Cameron Collective,33
Boyce Avenue,47
John Adams,48
Aimyon,44
Aimyon,64
Boyce Avenue,49
Joshua Radin,49
JJ Heller,45
Kurei,26
Us The Duo,47
Hanare Gumi,27
Suy Galvez,26
JJ Heller,48
Little Walter,59
Matt Pless,26
Peter Bradley Adams,53
Covers Culture;Acoustic Covers Culture;Lounge Covers Culture Of Popular Songs,26
Jay Filson,26
Suy Galvez,26
Jason Mraz,48
KT Tunstall,61
Days N Daze,27
Gail Blanco,26
Eddie Vedder,50
Ankle Grease,26
AJJ,27
Frank Turner,26
Frank Turner,26
Dave Barnes,49
Days N Daze,27
Apes of the State,27
Get Dead,26
Gen Hoshino,47
John Elliott,33
Brandon Chase;Taylor Manns,57
Gabrielle Aplin,44
Zak Manley,58
Sara Farell,48
Tim Halperin,39
Linn Brikell,45
Zack Tabudlo,49
Sara Farell;Simon Samaeng,44
The Mayries,44
Rosie Thomas;The Shins;Sufjan Stevens;Josh Ottum,51
Celestial Conscience,41
Isabella Celander,58
Erato;Charlotte Almgren,54
Rosi Golan,41
Caj Morgan,46
Yosui Inoue;Tamio Okuda,26
Brandi Carlile;Sam Smith,56
Masaharu Fukuyama,27
Us The Duo,46
Takehara Pistol,26
Kazuyoshi Saito,27
Boyce Avenue;Tyler Ward,52
Front Porch Step,26
Andrew Ripp,55
Keisha White,26
Eddie Vedder,51
Brendan James,51
Joseph Sullinger,49
Eddie Vedder,47
Howlin' Wolf,58
Johnnyswim,27
AJJ,58
RENT STRIKE,26
Johnnyswim,27
Covers Culture,26
Gabrielle Aplin,27
Days N Daze,27
Calibretto 13,26
Penny and Sparrow,58
Ramshackle Glory,27
Rail Yard Ghosts,27
Laura Jane Grace,26
Pigeon Pit,26
Pigeon Pit,27
Harley Poe,26
Buddy Guy;Derek Trucks,29
Frank Turner,26
Grace Petrie,26
Sara Farell,42
Jonah Baker,51
Matt Johnson,53
Zack Tabudlo,66
Sara Farell,51
Mother's Daughter;Beck Pete,40
Salty Snacks,38
Canyon City,43
The Civil Wars,44
Sara Farell,47
Tamio Okuda,27
Richard Walters,52
Guus Dielissen,43
Boyce Avenue,56
Jon Bryant,48
Boyce Avenue;Alex Goot,43
Michael Logen,33
Ice Seguerra,25
Ingrid Michaelson;A Great Big World,47
Ingrid Michaelson,39
Carly Lyman;Jason Lux,47
Jimmy Rogers,50
Masaharu Fukuyama,27
Todd Carey,47
Mone Kamishiraishi,26
Ray LaMontagne,51
Steve Pulvers,26
Andrew Foy;Renee Foy;Stephan Baulig,37
Chris Cresswell,25
JJ Heller,45
Hanare Gumi,25
Rory Block,26
A Great Big World,44
Johnnyswim,27
Bobbylene,25
Chris Cresswell,24
AJJ,27
Joey Cape,25
AJJ,27
Days N Daze,27
Son&Dad;Filip Nordin,25
Days N Daze,27
Cannon's Jug Stompers,28
Frank Turner,26
Vendredi;ELLE,25
Chad Hates George,26
Violent Femmes,27
Marc Broussard;J.J. Grey,26
Vendredi;Chrissy Dave,25
Get Dead,25
Adam Christopher,50
Jason Mraz,43
Kina Grannis,46
Joe Brooks,34
Chord Overstreet,35
Sara Farell,26
J-Que Beenz,45
Tim Halperin,40
Boyce Avenue,51
Roberto Diana;Muniesa,47
Bootstraps,46
Boyce Avenue,45
Roses & Frey,55
Kazuyoshi Saito,26
Nathan Angelo,48
Naotaro Moriyama,26
The Perishers,45
Masaharu Fukuyama,27
Graham Colton,54
Guus Dielissen,37
Penny and Sparrow;Stephanie Briggs,50
Masaharu Fukuyama,27
Boyce Avenue;Jennel Garcia,52
Son&Dad;Filip Nordin,51
Hanare Gumi,25
Yosui Inoue,26
Sakura Fujiwara,26
Correatown,38
Rory Block,25
Violent Femmes,47
Hanare Gumi,25
Aberola,26
Front Porch Step,25
She/Her/hers,25
Yosui Inoue,26
Eric Lumiere,25
Gail Blanco,25
Harley Poe,26
Corporate Hearts,26
Frank Turner,25
Dan Andriano in the Emergency Room,25
Frank Turner,25
Violent Femmes,26
Days N Daze,26
Days N Daze,26
Harley Poe,26
Taj Mahal,29
Pigeon Pit,26
Chuck Ragan,26
Frank Turner,25
Limoblaze;Lecrae;Happi,64
Criolo,44
Criolo,42
Criolo,46
Criolo,44
Criolo,43
Criolo;Rael,41
BaianaSystem,39
Plastilina Mosh,40
Criolo,43
Criolo,46
Criolo,39
Criolo,40
BaianaSystem;BNegão,38
Criolo,41
Criolo;MC Hariel;Liniker;Maria Vilani;Jaques Morelenbaum,42
Jorge Drexler;Sebastián Prada,38
Criolo,38
Criolo;Emicida;Mano Brown,44
Criolo,37
BaianaSystem;Liz Reis,36
BaianaSystem,44
Criolo,41
Criolo;Emicida;Evandro Fióti,37
Criolo,48
Criolo,37
Juanafé,42
Criolo;Milton Nascimento,44
Criolo,44
Criolo,41
Juanafé,45
Criolo,41
Criolo;Emicida,41
Samuca e a Selva,36
Criolo,41
Criolo,41
Juanafé,46
Criolo,39
Criolo,37
BaianaSystem,39
BaianaSystem,38
Criolo,42
Criolo,37
Criolo,37
Criolo,36
Criolo,36
Criolo,37
Criolo;Emicida,35
Criolo;Emicida,37
Jackie Mittoo,40
Pompi,25
Menahan Street Band,64
Criolo,32
BaianaSystem,37
BaianaSystem,36
Los Pirañas,33
BaianaSystem;Orquestra Afrosinfônica,36
BaianaSystem;Makavelli;Jaymitta,35
Jorge Drexler,33
Criolo,33
BaianaSystem;Buguinha Dub;Curumin;Edgar,34
BaianaSystem,35
Plastilina Mosh,35
Samuca e a Selva,33
Los Amigos Invisibles,35
Jorge Drexler;Gal Costa,35
Criolo,34
BaianaSystem,35
Criolo,35
Metá Metá,33
BaianaSystem;Cássia Eller,37
Los Amigos Invisibles,36
BaianaSystem;Samba de Lata de Tijuaçú,34
Criolo;Emicida,32
Criolo,32
BaianaSystem;VANDAL,34
Mandrill,34
Samuca e a Selva;Luedji Luna,32
Juanafé,34
Criolo,34
Criolo,33
Criolo;Emicida,33
BaianaSystem;As Ganhadeiras de Itapuã,33
BaianaSystem;BNegão,35
Plastilina Mosh,35
BaianaSystem,36
Juanafé,33
Hugh Masekela,0
Hugh Masekela,0
Manu Dibango,0
Criolo;Emicida,34
Criolo;Emicida,33
Hugh Masekela,0
Criolo;Emicida,35
Hugh Masekela,0
Criolo;Emicida,33
Jackie Mittoo,34
Manu Dibango,0
Hugh Masekela,0
Ernest Ranglin,3
Calle 13,75
El Michels Affair,49
Ali Farka Touré;Toumani Diabaté,19
Criolo,30
BaianaSystem;Orquestra Afrosinfônica;Antonio Carlos & Jocafi,34
Jorge Drexler,31
Los Amigos Invisibles;Ferraz,34
Afrocidade,29
Los Amigos Invisibles,35
Calle 13,33
OQuadro;Dimak,30
Nomade Orquestra;Russo Passapusso,30
BaianaSystem;Nação Zumbi,32
Jorge Drexler,31
Romperayo,30
Criolo,31
Los Amigos Invisibles,33
William Onyeabor,31
Jorge Drexler,30
BaianaSystem,31
BaianaSystem,31
Jorge Drexler,30
Plastilina Mosh,33
Jorge Drexler,31
Samuca e a Selva,30
Plastilina Mosh,32
BaianaSystem;Carolaine,31
Plastilina Mosh,35
BaianaSystem,31
BaianaSystem,31
Bixiga 70,31
Samuca e a Selva,31
BaianaSystem,30
Metá Metá,33
Jorge Drexler,30
Plastilina Mosh,35
Hugh Masekela,0
Hugh Masekela,0
BaianaSystem,33
Orquestra Brasileira de Música Jamaicana,32
Tony Allen,30
Jorge Drexler,30
Hugh Masekela;Gugu Shezi,0
BaianaSystem,31
Hugh Masekela,0
Criolo;Emicida,30
Hugh Masekela,0
Los Amigos Invisibles,32
Los Amigos Invisibles,33
Hugh Masekela,0
CalledOut Music,45
Ali Farka Touré,16
Bang Data,42
QUITAPENAS,27
Morbo y Mambo,27
Plastilina Mosh,28
Los Amigos Invisibles,30
Los Amigos Invisibles,31
Letta Mbulu,27
Tony Allen;Damon Albarn,29
Los Amigos Invisibles,30
Subhira,27
La Misa Negra,28
Plastilina Mosh,32
Plastilina Mosh,31
Juanafé;Demian Rodríguez,28
Jorge Drexler,29
Newen Afrobeat,28
Newen Afrobeat,27
Juanafé,29
BaianaSystem,27
BaianaSystem,29
Jorge Drexler,28
Mandrill,28
Criolo,26
Los Amigos Invisibles;C-Funk;Mcklopedia,30
Los Amigos Invisibles,30
Jorge Drexler,30
El Hijo De La Cumbia,26
BaianaSystem,28
BaianaSystem;Bule Bule;Rapadura,30
Jorge Drexler,29
Los Amigos Invisibles,31
BaianaSystem,28
BaianaSystem,30
The Budos Band,28
BaianaSystem;Roberto Mendes,30
BaianaSystem;Claudia Manzo,29
Samuca e a Selva;Criolo,27
The New Mastersounds;Spellbinder,30
Bixiga 70,27
BaianaSystem,29
BaianaSystem,28
Jorge Drexler,28
Jackie Mittoo,29
Plastilina Mosh,28
Los Amigos Invisibles,30
Criolo,28
BaianaSystem,30
Jorge Drexler,29
El Michels Affair,55
Limoblaze;Moses Bliss,45
CalledOut Music,38
Limoblaze;Emandiong,49
Mulatu Astatke,52
TJ Cream,26
Caê,25
Afrocidade,25
